Name	AccessionID	File	TaxonID	URL
Gossypium_hirsutum	GCF_007990345.1	GCF_007990345.1_Gossypium_hirsutum_v2.1_protein.faa	3635	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/990/345/GCF_007990345.1_Gossypium_hirsutum_v2.1/GCF_007990345.1_Gossypium_hirsutum_v2.1_protein.faa.gz
Arabidopsis_thaliana	GCF_000001735.4	GCF_000001735.4_TAIR10.1_protein.faa	3702	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.4_TAIR10.1/GCF_000001735.4_TAIR10.1_protein.faa.gz
Arachis_hypogaea	GCF_003086295.2	GCF_003086295.2_arahy.Tifrunner.gnm1.KYV3_protein.faa	3818	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/086/295/GCF_003086295.2_arahy.Tifrunner.gnm1.KYV3/GCF_003086295.2_arahy.Tifrunner.gnm1.KYV3_protein.faa.gz
Glycine_max	GCF_000004515.6	GCF_000004515.6_Glycine_max_v4.0_protein.faa	3847	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/515/GCF_000004515.6_Glycine_max_v4.0/GCF_000004515.6_Glycine_max_v4.0_protein.faa.gz
Aquilegia_coerulea	GCA_002738505.1	GCA_002738505.1_Aquilegia_coerulea_v1_protein.faa	218851	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/738/505/GCA_002738505.1_Aquilegia_coerulea_v1/GCA_002738505.1_Aquilegia_coerulea_v1_protein.faa.gz
Manihot_esculenta	GCF_001659605.2	GCF_001659605.2_M.esculenta_v8_protein.faa	3983	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/659/605/GCF_001659605.2_M.esculenta_v8/GCF_001659605.2_M.esculenta_v8_protein.faa.gz
Solanum_lycopersicum	GCF_000188115.5	GCF_000188115.5_SL3.1_protein.faa	4081	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/115/GCF_000188115.5_SL3.1/GCF_000188115.5_SL3.1_protein.faa.gz
Oryza_Sativa	GCF_000005425.2	GCF_000005425.2_Build_4.0_protein.faa	39947	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/425/GCF_000005425.2_Build_4.0/GCF_000005425.2_Build_4.0_protein.faa.gz
Zea_mays	GCF_902167145.1	GCF_902167145.1_Zm-B73-REFERENCE-NAM-5.0_protein.faa	4577	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/167/145/GCF_902167145.1_Zm-B73-REFERENCE-NAM-5.0/GCF_902167145.1_Zm-B73-REFERENCE-NAM-5.0_protein.faa.gz
Elaeis_guineensis	GCF_000442705.1	GCF_000442705.1_EG5_protein.faa	51953	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/705/GCF_000442705.1_EG5/GCF_000442705.1_EG5_protein.faa.gz
